Relaxation,Carp_steps
0.025,6653
0.05,6442
0.075,6229
0.1,6007
0.125,5780
0.15,5543
0.175,5295
0.2,5032
0.225,4761
0.25,4521
0.275,4314
0.3,4131
0.325,3970
0.35,3826
0.375,3698
0.4,3582
0.425,4574
0.45,-1
0.475,-1
0.5,29000
0.525,-1
0.55,-1
0.575,-1
0.6,-1
0.625,-1
0.65,49157
0.675,-1
0.7,-1
0.725,-1
0.75,-1
0.775,-1
0.8,-1
0.825,-1
0.85,-1
0.875,-1
0.9,-1
0.925,-1
0.95,-1
0.975,-1
1,-1
1.025,-1
1.05,-1
1.075,-1
1.1,-1
1.125,-1
1.15,-1
1.175,-1
1.2,-1
1.225,-1
1.25,-1
1.275,-1
1.3,-1
1.325,-1
1.35,-1
1.375,-1
1.4,-1
1.425,-1
1.45,-1
1.475,-1
1.5,-1
1.525,-1
1.55,-1
1.575,-1
1.6,-1
1.625,-1
1.65,-1
1.675,-1
1.7,-1
1.725,-1
1.75,-1
1.775,-1
1.8,-1
1.825,-1
1.85,-1
1.875,-1
1.9,-1
1.925,-1
1.95,-1
1.975,-1
2,-1
2.025,-1
2.05,-1
2.075,-1
2.1,-1
2.125,-1
2.15,-1
2.175,-1
2.2,-1
2.225,-1
2.25,-1
2.275,-1
2.3,-1
2.325,-1
2.35,-1
2.375,-1
2.4,-1
2.425,-1
2.45,-1
2.475,-1
2.5,-1
2.525,-1
2.55,-1
2.575,-1
2.6,-1
2.625,-1
2.65,-1
2.675,-1
2.7,-1
2.725,-1
2.75,-1
2.775,-1
2.8,-1
2.825,-1
2.85,-1
2.875,-1
2.9,-1
2.925,-1
2.95,-1
2.975,-1
3,-1
