Relaxation,Carp_steps
0.025,78
0.05,77
0.075,76
0.1,76
0.125,75
0.15,74
0.175,73
0.2,72
0.225,70
0.25,70
0.275,68
0.3,67
0.325,65
0.35,64
0.375,63
0.4,61
0.425,60
0.45,58
0.475,56
0.5,55
0.525,54
0.55,52
0.575,51
0.6,50
0.625,49
0.65,49
0.675,49
0.7,53
0.725,54
0.75,55
0.775,56
0.8,55
0.825,60
0.85,65
0.875,66
0.9,65
0.925,65
0.95,69
0.975,76
1,74
1.025,79
1.05,84
1.075,89
1.1,88
1.125,97
1.15,103
1.175,109
1.2,105
1.225,113
1.25,113
1.275,114
1.3,113
1.325,121
1.35,122
1.375,112
1.4,117
1.425,123
1.45,122
1.475,126
1.5,131
1.525,124
1.55,134
1.575,135
1.6,137
1.625,136
1.65,136
1.675,138
1.7,146
1.725,141
1.75,149
1.775,143
1.8,148
1.825,142
1.85,150
1.875,156
1.9,153
1.925,145
1.95,148
1.975,145
2,159
2.025,149
2.05,165
2.075,160
2.1,156
2.125,151
2.15,164
2.175,163
2.2,169
2.225,157
2.25,160
2.275,162
2.3,158
2.325,159
2.35,151
2.375,167
2.4,153
2.425,151
2.45,156
2.475,156
2.5,156
2.525,165
2.55,160
2.575,162
2.6,161
2.625,167
2.65,164
2.675,166
2.7,167
2.725,177
2.75,174
2.775,173
2.8,175
2.825,170
2.85,173
2.875,201
2.9,165
2.925,169
2.95,166
2.975,169
3,171
