Relaxation,Carp_steps
0.1,73
0.35,72
0.6,71
0.85,70
1.1,69
1.35,69
1.6,68
1.85,67
2.1,65
2.35,64
2.6,63
2.85,61
3.1,60
3.35,59
3.6,57
3.85,55
4.1,54
4.35,52
4.6,51
4.85,49
5.1,48
5.35,47
5.6,47
5.85,46
6.1,47
6.35,50
6.6,53
6.85,52
7.1,54
7.35,55
7.6,57
7.85,59
8.1,59
8.35,63
8.6,62
8.85,65
9.1,69
9.35,70
9.6,78
9.85,87
10.1,92
10.35,96
10.6,101
10.85,106
11.1,111
11.35,113
11.6,114
11.85,108
12.1,120
12.35,110
12.6,123
12.85,118
13.1,120
13.35,122
13.6,122
13.85,125
14.1,129
14.35,126
14.6,132
14.85,138
15.1,137
15.35,133
15.6,146
15.85,147
16.1,139
16.35,143
16.6,150
16.85,152
17.1,153
17.35,148
17.6,144
17.85,145
18.1,152
18.35,148
18.6,157
18.85,156
19.1,158
19.35,150
19.6,157
19.85,171
20.1,162
20.35,162
20.6,162
20.85,164
21.1,163
21.35,181
21.6,167
21.85,170
22.1,165
22.35,164
22.6,159
22.85,160
23.1,161
23.35,170
23.6,160
23.85,164
24.1,165
24.35,167
24.6,176
24.85,172
25.1,168
25.35,175
25.6,165
25.85,169
26.1,168
26.35,168
26.6,231
26.85,175
27.1,174
27.35,170
27.6,171
27.85,174
28.1,188
28.35,192
28.6,183
28.85,182
29.1,177
29.35,205
29.6,231
29.85,175
