Relaxation,Carp_steps
0.1,428
0.35,424
0.6,420
0.85,417
1.1,414
1.35,411
1.6,408
1.85,405
2.1,402
2.35,399
2.6,395
2.85,392
3.1,389
3.35,386
3.6,381
3.85,378
4.1,375
4.35,371
4.6,367
4.85,365
5.1,360
5.35,357
5.6,353
5.85,349
6.1,344
6.35,340
6.6,336
6.85,332
7.1,328
7.35,323
7.6,319
7.85,315
8.1,311
8.35,306
8.6,302
8.85,298
9.1,294
9.35,291
9.6,288
9.85,284
10.1,281
10.35,278
10.6,274
10.85,271
11.1,268
11.35,265
11.6,262
11.85,259
12.1,257
12.35,255
12.6,252
12.85,252
13.1,251
13.35,257
13.6,257
13.85,255
14.1,256
14.35,256
14.6,255
14.85,251
15.1,255
15.35,266
15.6,288
15.85,288
16.1,294
16.35,312
16.6,323
16.85,335
17.1,344
17.35,361
17.6,381
17.85,400
18.1,411
18.35,466
18.6,433
18.85,477
19.1,454
19.35,488
19.6,473
19.85,484
20.1,557
20.35,502
20.6,521
20.85,567
21.1,625
21.35,605
21.6,592
21.85,748
22.1,677
22.35,731
22.6,738
22.85,675
23.1,777
23.35,710
23.6,793
23.85,799
24.1,792
24.35,836
24.6,834
24.85,829
25.1,932
25.35,986
25.6,1278
25.85,1178
26.1,1706
26.35,1233
26.6,1943
26.85,1228
27.1,1134
27.35,1260
27.6,1232
