Relaxation,Carp_steps
0.1,64
0.35,63
0.6,62
0.85,62
1.1,61
1.35,60
1.6,59
1.85,57
2.1,56
2.35,55
2.6,54
2.85,53
3.1,52
3.35,51
3.6,50
3.85,48
4.1,47
4.35,45
4.6,44
4.85,43
5.1,42
5.35,41
5.6,40
5.85,39
6.1,40
6.35,41
6.6,43
6.85,44
7.1,48
7.35,50
7.6,48
7.85,49
8.1,49
8.35,49
8.6,54
8.85,52
9.1,59
9.35,60
9.6,63
9.85,68
10.1,71
10.35,73
10.6,81
10.85,85
11.1,90
11.35,94
11.6,97
11.85,103
12.1,103
12.35,102
12.6,100
12.85,104
13.1,107
13.35,109
13.6,115
13.85,113
14.1,113
14.35,118
14.6,126
14.85,129
15.1,124
15.35,127
15.6,127
15.85,123
16.1,136
16.35,135
16.6,137
16.85,128
17.1,139
17.35,145
17.6,133
17.85,133
18.1,133
18.35,151
18.6,139
18.85,146
19.1,142
19.35,140
19.6,154
19.85,147
20.1,160
20.35,149
20.6,154
20.85,158
21.1,161
21.35,162
21.6,157
21.85,157
22.1,158
22.35,165
22.6,151
22.85,154
23.1,176
23.35,156
23.6,157
23.85,162
24.1,154
24.35,164
24.6,167
24.85,169
25.1,158
25.35,185
25.6,163
25.85,170
26.1,217
26.35,161
26.6,168
26.85,175
27.1,165
27.35,168
27.6,160
27.85,171
28.1,161
28.35,163
28.6,159
28.85,158
29.1,163
29.35,168
29.6,163
29.85,172
