825
103 103
0 0 4.21711
0 10 0.122693
0 11 0.0832557
0 12 0.105894
0 13 0.334508
0 14 -0.0915015
0 28 0.0411816
0 29 -0.0377575
0 31 -1.27955
0 32 -0.776263
0 35 -0.954023
0 36 -1.44649
0 39 -0.306257
0 66 -0.0392596
0 82 -0.197737
0 83 -0.0478984
0 87 0.213421
0 88 0.136657
0 89 -0.0692351
0 92 -0.0129613
0 97 0.683888
0 102 -0.55412
1 1 5.12249
1 10 0.107724
1 15 0.246418
1 16 -0.0613682
1 17 0.246692
1 28 -0.16268
1 30 -1.31628
1 41 -1.00226
1 42 -0.528459
1 45 -0.999097
1 71 -0.00462057
1 74 -0.0066438
1 81 0.79336
1 82 0.734294
1 93 -0.00912521
1 96 -3.15613
2 2 3.66313
2 11 0.0715559
2 15 0.244335
2 18 0.243036
2 19 0.236288
2 20 0.0725861
2 29 -0.000736222
2 33 -0.677036
2 40 -0.996763
2 47 -0.99666
2 49 -1.00474
2 51 -0.741776
2 73 -0.00939396
2 77 -0.0199122
2 80 -0.038973
2 85 0.0514344
2 88 0.021548
2 94 -0.0118754
2 99 -0.06193
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 0 0.122693
10 1 0.107724
10 10 4.74416
10 11 0.243728
10 14 -0.131564
10 15 0.161823
10 16 0.0569296
10 28 -0.345183
10 30 -1.31146
10 31 -1.26516
10 32 -0.0152455
10 39 0.571259
10 41 -0.00743115
10 42 -0.25341
10 81 -0.108234
10 82 0.0142049
10 83 0.65219
10 92 -1.00272
10 93 -0.665565
10 94 -0.0115234
10 96 0.94008
10 97 -2.46307
11 0 0.0832557
11 2 0.0715559
11 10 0.243728
11 11 3.28436
11 12 -0.00621396
11 15 0.160782
11 20 -0.0446235
11 29 -0.209321
11 31 -0.013829
11 32 -0.7422
11 33 -0.715258
11 35 0.037599
11 40 -0.0115978
11 51 0.167942
11 85 0.227437
11 87 0.0851009
11 88 -0.00827435
11 92 -0.997222
11 93 -0.0101069
11 94 -0.662814
11 99 -0.633624
11 102 -0.164419
12 0 0.105894
12 11 -0.00621396
12 12 4.71436
12 13 -0.175974
12 29 0.0181025
12 32 0.0980342
12 34 -0.903749
12 35 -0.869817
12 36 -0.0561036
12 86 0.196085
12 87 -1.01666
12 88 0.0124758
12 89 0.58302
12 90 -1.99988
12 91 -0.0747142
12 101 -0.811591
12 102 -0.127302
13 0 0.334508
13 12 -0.175974
13 13 4.84253
13 14 0.119376
13 35 -0.0688521
13 36 -1.44124
13 37 -1.45399
13 39 -0.0378239
13 66 -0.532789
13 67 -0.873037
13 68 -0.0294492
13 89 0.533517
13 90 -0.0874627
13 91 -2.02464
14 0 -0.0915015
14 10 -0.131564
14 13 0.119376
14 14 4.12854
14 28 0.0745158
14 31 0.607751
14 36 -0.0491559
14 38 -0.305481
14 39 -0.373296
14 66 -0.576791
14 67 -0.0407812
14 68 -0.895039
14 82 0.451913
14 83 -1.55913
14 84 -0.102987
14 97 -1.77009
14 98 0.312141
15 1 0.246418
15 2 0.244335
15 10 0.161823
15 11 0.160782
15 15 3.58188
15 17 0.163212
15 18 0.16217
15 30 -0.00794479
15 33 -0.013528
15 40 -1.00318
15 41 -0.99768
15 45 -0.00546338
15 47 -0.0110465
15 72 -0.00710935
15 73 -0.66671
15 74 -0.66396
15 92 -0.0120722
15 93 -0.667627
15 94 -0.670377
16 1 -0.0613682
16 10 0.0569296
16 16 4.23677
16 17 0.108841
16 28 0.0365336
16 30 -0.142554
16 42 -0.513097
16 43 -0.394835
16 45 -0.00685059
16 69 -1.33352
16 70 -0.00409637
16 71 -0.447814
16 81 -1.42489
16 82 -0.195118
16 84 0.448774
16 95 -1.91876
16 96 0.84694
17 1 0.246692
17 15 0.163212
17 16 0.108841
17 17 3.63777
17 18 0.246505
17 41 -0.00683841
17 42 -0.00491248
17 44 -1.00048
17 45 -0.999986
17 46 -0.00720858
17 69 -0.00231617
17 70 -0.663053
17 71 -0.440595
17 72 -1.00272
17 73 -0.00844929
17 74 -0.669231
18 2 0.243036
18 15 0.16217
18 17 0.246505
18 18 3.69184
18 19 0.101028
18 40 -0.0110051
18 44 -0.00579208
18 46 -0.998046
18 47 -1.00442
18 49 -0.0223288
18 72 -0.997222
18 73 -0.666481
18 74 -0.00703278
18 75 -0.671303
18 76 -0.0225241
18 77 -0.452971
19 2 0.236288
19 18 0.101028
19 19 4.11963
19 20 -0.0205842
19 47 -0.0178927
19 48 -1.00755
19 49 -0.995382
19 51 -0.0364207
19 75 -0.01793
19 76 -1.3294
19 77 -0.435438
19 78 -1.34614
19 79 -0.0488277
19 80 -0.00662015
20 2 0.0725861
20 11 -0.0446235
20 19 -0.0205842
20 20 3.7939
20 29 -0.00202647
20 33 0.240823
20 49 -0.0326433
20 50 -0.713327
20 51 -0.686433
20 78 -0.0450504
20 79 -1.3388
20 80 0.00804739
20 85 -0.843575
20 86 -0.0343969
20 88 0.199667
20 99 -0.859379
20 100 0.14159
21 21 1
22 22 1
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 0 0.0411816
28 1 -0.16268
28 10 -0.345183
28 14 0.0745158
28 16 0.0365336
28 28 4.57453
28 30 0.704003
28 31 -0.0706487
28 38 0.372143
28 39 -0.152671
28 42 0.557796
28 43 -0.133449
28 81 -1.49807
28 82 -0.0485829
28 83 -1.48736
28 84 0.101178
28 95 0.466038
28 96 -2.06613
28 97 0.599999
28 98 -1.61669
29 0 -0.0377575
29 2 -0.000736222
29 11 -0.209321
29 12 0.0181025
29 20 -0.00202647
29 29 3.27501
29 32 0.22146
29 33 0.0666895
29 34 -0.0169814
29 35 0.164253
29 50 0.235815
29 51 -0.0031452
29 85 -0.909661
29 86 0.0788234
29 87 -0.955702
29 88 0.0930598
29 99 -0.0318961
29 100 -0.915111
29 101 0.0275059
29 102 -0.742981
30 1 -1.31628
30 10 -1.31146
30 15 -0.00794479
30 16 -0.142554
30 28 0.704003
30 30 6.94847
30 41 -0.635915
30 42 1.0649
30 81 -0.268513
30 82 -2.69742
30 93 -0.96586
30 96 -1.2004
31 0 -1.27955
31 10 -1.26516
31 11 -0.013829
31 14 0.607751
31 28 -0.0706487
31 31 6.3183
31 32 -0.941851
31 39 -2.22956
31 82 0.758856
31 83 -0.322895
31 92 -0.613086
31 97 -0.617761
32 0 -0.776263
32 10 -0.0152455
32 11 -0.7422
32 12 0.0980342
32 29 0.22146
32 31 -0.941851
32 32 4.61967
32 35 -0.19951
32 87 -0.238387
32 88 -0.600039
32 92 -0.610253
32 102 -0.29656
33 2 -0.677036
33 11 -0.715258
33 15 -0.013528
33 20 0.240823
33 29 0.0666895
33 33 4.59412
33 40 -0.616415
33 51 -0.700338
33 85 -0.178487
33 88 -0.104383
33 94 -0.949193
33 99 -0.521143
34 12 -0.903749
34 29 -0.0169814
34 34 7.76367
34 86 0.132139
34 87 -0.00834526
34 90 0.983439
34 101 -2.3628
35 0 -0.954023
35 11 0.037599
35 12 -0.869817
35 13 -0.0688521
35 29 0.164253
35 32 -0.19951
35 35 6.88628
35 36 0.805467
35 87 -0.690036
35 88 0.115582
35 89 -1.72383
35 102 -2.04898
36 0 -1.44649
36 12 -0.0561036
36 13 -1.44124
36 14 -0.0491559
36 35 0.805467
36 36 6.62217
36 39 -0.381596
36 66 -0.712058
36 89 -1.74932
37 13 -1.45399
37 37 6.79052
37 67 -0.342095
37 91 0.833439
38 14 -0.305481
38 28 0.372143
38 38 6.08108
38 68 -0.475429
38 83 -1.50208
38 84 0.258387
38 98 -3.04259
39 0 -0.306257
39 10 0.571259
39 13 -0.0378239
39 14 -0.373296
39 28 -0.152671
39 31 -2.22956
39 36 -0.381596
39 39 7.25553
39 66 -0.734722
39 82 0.292524
39 83 0.532791
39 97 -3.70827
40 2 -0.996763
40 11 -0.0115978
40 15 -1.00318
40 18 -0.0110051
40 33 -0.616415
40 40 4.84774
40 47 -0.622563
40 73 -0.625869
40 94 -0.61972
41 1 -1.00226
41 10 -0.00743115
41 15 -0.99768
41 17 -0.00683841
41 30 -0.635915
41 41 4.78107
41 45 -0.642063
41 74 -0.639702
41 93 -0.633554
42 1 -0.528459
42 10 -0.25341
42 16 -0.513097
42 17 -0.00491248
42 28 0.557796
42 30 1.0649
42 42 7.35339
42 45 -0.420918
42 71 -1.31427
42 81 -2.34361
42 82 0.254691
42 96 -3.75673
43 16 -0.394835
43 28 -0.133449
43 43 5.93611
43 69 -0.440154
43 81 0.536752
43 84 0.218156
43 95 -2.81974
44 17 -1.00048
44 18 -0.00579208
44 44 4.88221
44 46 -0.973999
44 70 -0.420008
44 72 -0.641457
45 1 -0.999097
45 15 -0.00546338
45 16 -0.00685059
45 17 -0.999986
45 41 -0.642063
45 42 -0.420918
45 45 4.87575
45 71 -0.643724
45 74 -0.975786
46 17 -0.00720858
46 18 -0.998046
46 44 -0.973999
46 46 4.93425
46 72 -0.638624
46 75 -0.388092
47 2 -0.99666
47 15 -0.0110465
47 18 -1.00442
47 19 -0.0178927
47 40 -0.622563
47 47 5.01112
47 49 -0.364001
47 73 -0.959119
47 77 -0.591057
48 19 -1.00755
48 48 5.70346
48 76 -0.333237
48 78 0.17761
49 2 -1.00474
49 18 -0.0223288
49 19 -0.995382
49 20 -0.0326433
49 47 -0.364001
49 49 5.55213
49 51 0.138128
49 77 -1.24885
49 80 -1.1901
50 20 -0.713327
50 29 0.235815
50 50 6.11692
50 79 0.222054
50 85 -1.00417
50 86 0.113077
50 100 -2.12567
51 2 -0.741776
51 11 0.167942
51 19 -0.0364207
51 20 -0.686433
51 29 -0.0031452
51 33 -0.700338
51 49 0.138128
51 51 5.47738
51 80 -1.18255
51 85 0.00929632
51 88 0.0865642
51 99 -1.73301
52 52 1
53 53 1
54 54 1
55 55 1
56 56 1
57 57 1
58 58 1
59 59 1
60 60 1
61 61 1
62 62 1
63 63 1
64 64 1
65 65 1
66 0 -0.0392596
66 13 -0.532789
66 14 -0.576791
66 36 -0.712058
66 39 -0.734722
66 66 5.27949
66 67 -0.732808
66 68 -0.755472
67 13 -0.873037
67 14 -0.0407812
67 37 -0.342095
67 66 -0.732808
67 67 5.36503
67 68 -0.415095
68 13 -0.0294492
68 14 -0.895039
68 38 -0.475429
68 66 -0.755472
68 67 -0.415095
68 68 5.09836
69 16 -1.33352
69 17 -0.00231617
69 43 -0.440154
69 69 4.92034
69 70 -0.431619
69 71 -0.654071
70 16 -0.00409637
70 17 -0.663053
70 44 -0.420008
70 69 -0.431619
70 70 4.96091
70 71 -1.31718
71 1 -0.00462057
71 16 -0.447814
71 17 -0.440595
71 42 -1.31427
71 45 -0.643724
71 69 -0.654071
71 70 -1.31718
71 71 4.95776
72 15 -0.00710935
72 17 -1.00272
72 18 -0.997222
72 44 -0.641457
72 46 -0.638624
72 72 4.77829
72 73 -0.635549
72 74 -0.638382
73 2 -0.00939396
73 15 -0.66671
73 17 -0.00844929
73 18 -0.666481
73 40 -0.625869
73 47 -0.959119
73 72 -0.635549
73 73 4.80953
73 74 -0.969036
