10321
1465 1465
0 0 2.98077
112 0 -0.794451
113 0 0.0782367
233 0 -0.811243
322 0 -0.481994
354 0 -0.265498
453 0 0.0659802
482 0 -0.268136
497 0 -0.460529
1 1 3.04748
113 1 0.0901813
114 1 -0.833125
232 1 -0.849795
234 1 0.101796
322 1 -0.248484
354 1 -0.495117
355 1 -0.518444
402 1 -0.245562
2 2 3.02841
114 2 -0.81659
115 2 0.0608206
235 2 0.0722877
294 2 -0.800199
322 2 -0.504837
355 2 -0.23118
387 2 -0.234001
410 2 -0.529215
3 3 2.96024
112 3 -0.777786
115 3 0.0490066
295 3 -0.761255
322 3 -0.25121
387 3 -0.492168
452 3 0.0368648
482 3 -0.469776
504 3 -0.25374
4 4 3.10806
116 4 0.0940963
117 4 -0.856806
235 4 0.083387
293 4 -0.840592
323 4 -0.210422
355 4 -0.543342
386 4 -0.569996
410 4 -0.213554
5 5 3.12515
117 5 -0.873175
118 5 0.123958
234 5 0.113062
236 5 -0.889688
323 5 -0.558442
355 5 -0.228157
356 5 -0.224931
402 5 -0.532987
6 6 3.215
118 6 0.134463
119 6 -0.914767
237 6 -0.931083
297 6 0.144553
323 6 -0.20708
356 6 -0.574514
388 6 -0.602408
411 6 -0.203528
7 7 3.20055
116 7 0.104392
119 7 -0.898608
292 7 -0.882617
296 7 0.114247
323 7 -0.585696
386 7 -0.192317
388 7 -0.18885
418 7 -0.61497
8 8 3.17394
120 8 0.182026
121 8 -0.940015
239 8 0.170817
324 8 -0.539904
357 8 -0.256444
443 8 -0.957027
477 8 -0.253045
494 8 -0.516447
9 9 3.14727
121 9 -0.923116
122 9 0.153246
236 9 -0.906338
238 9 0.142184
324 9 -0.239129
356 9 -0.548467
357 9 -0.524072
402 9 -0.242444
10 10 3.23489
122 10 0.163936
123 10 -0.964151
237 10 -0.947548
298 10 0.174234
324 10 -0.564884
356 10 -0.221502
389 10 -0.21787
411 10 -0.59156
11 11 3.25965
120 11 0.192882
123 11 -0.980884
299 11 0.203365
324 11 -0.235618
389 11 -0.582237
444 11 -0.99774
477 11 -0.556639
503 11 -0.231909
12 12 3.00574
124 12 -0.845177
125 12 0.106968
233 12 -0.828154
325 12 -0.279511
354 12 -0.4732
454 12 0.0946119
483 12 -0.452555
497 12 -0.282251
13 13 3.07127
125 13 0.119027
126 13 -0.883508
232 13 -0.866592
238 13 0.130771
325 13 -0.486744
354 13 -0.26267
357 13 -0.259652
402 13 -0.509142
14 14 3.09932
126 14 -0.900537
127 14 0.147415
239 14 0.159275
325 14 -0.276587
357 14 -0.50116
442 14 -0.917672
476 14 -0.479585
494 14 -0.273478
15 15 3.03476
124 15 -0.862306
127 15 0.135257
325 15 -0.465648
441 15 -0.879535
455 15 0.122813
476 15 -0.293274
483 15 -0.29611
506 15 -0.445732
16 16 3.46935
128 16 0.232351
129 16 -1.06748
241 16 0.241109
326 16 -0.191607
358 16 -0.679364
446 16 -1.0839
478 16 -0.648527
495 16 -0.187211
17 17 3.4504
129 17 -1.05121
130 17 0.202525
240 17 0.210998
242 17 -1.0351
326 17 -0.658609
358 17 -0.172799
359 17 -0.17714
403 17 -0.6909
18 18 3.33542
130 18 0.193554
131 18 -1.00678
243 18 -0.990398
298 18 0.184115
326 18 -0.195792
359 18 -0.638865
389 18 -0.609577
411 18 -0.199766
19 19 3.35766
128 19 0.223123
131 19 -1.02331
299 19 0.213453
326 19 -0.628566
389 19 -0.214034
445 19 -1.03997
478 19 -0.209993
503 19 -0.600525
20 20 3.31848
132 20 -0.958095
133 20 0.163383
243 20 -0.974166
297 20 0.154202
327 20 -0.650829
359 20 -0.181262
388 20 -0.185165
411 20 -0.620131
21 21 3.43726
133 21 0.172066
134 21 -1.00339
242 21 -1.01915
244 21 0.18022
327 21 -0.162308
359 21 -0.670338
360 21 -0.704276
403 21 -0.158025
22 22 3.43065
134 22 -0.987812
135 22 0.140884
245 22 0.148677
301 22 -0.972445
327 22 -0.683925
360 22 -0.142844
390 22 -0.147066
412 22 -0.71974
23 23 3.30746
132 23 -0.942198
135 23 0.132525
296 23 0.123635
300 23 -0.926485
327 23 -0.166363
