3937
381 381
0 0 11.7686
0 31 0.340269
0 32 0.290389
0 35 0.47422
0 36 1.04854
0 39 -0.205452
0 97 0.0968451
0 102 -0.127795
0 106 -3.48088
0 107 -2.39595
0 114 -3.28461
0 115 -4.28147
0 122 -0.722755
0 233 -0.104854
0 301 -0.471708
0 304 -0.135622
0 321 0.72625
0 324 0.40661
0 325 0.105552
0 337 -0.0393507
0 357 1.6812
0 377 -1.67083
1 1 5.25563
1 30 0.102635
1 41 0.280859
1 42 -0.056844
1 45 0.222599
1 96 -0.184789
1 103 -1.45463
1 126 -1.10845
1 127 -0.437645
1 134 -0.902153
1 251 -0.0465968
1 263 0.00188284
1 297 0.89688
1 300 0.792454
1 340 0.042329
1 353 -3.40323
2 2 7.00837
2 33 0.165645
2 40 0.468099
2 47 0.426259
2 49 0.484014
2 51 0.20343
2 99 -0.0115988
2 110 -1.4658
2 123 -1.89155
2 138 -1.7349
2 142 -1.95419
2 146 -1.7108
2 260 -0.0537335
2 275 -0.0683303
2 287 0.046912
2 309 0.146519
2 312 0.0597251
2 343 0.00535506
2 365 -0.117625
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 8.84508
10 30 0.166704
10 31 0.245601
10 82 -0.544285
10 92 0.514909
10 93 0.29955
10 96 0.0785553
10 97 -0.26636
10 104 -2.11977
10 105 -2.53606
10 207 0.0705168
10 227 -2.03767
10 229 -1.20497
10 297 -0.358397
10 298 -0.172037
10 301 1.23281
10 302 1.19413
10 338 0.0572688
10 341 -0.0323582
10 346 0.00852809
10 354 1.40778
10 358 -4.84491
11 11 8.1627
11 32 0.251594
11 33 0.209543
11 88 -0.54398
11 92 0.608529
11 94 0.386518
11 99 -0.122211
11 102 -0.0356948
11 108 -2.04234
11 109 -1.86107
11 219 -0.252361
11 228 -2.46233
11 231 -1.54469
11 311 0.649057
11 312 0.417676
11 323 0.299651
11 324 0.127747
11 339 -0.0106264
11 344 -0.0453015
11 348 -0.0614205
11 368 -1.64794
11 380 -0.466058
12 12 22.98
12 34 0.747585
12 35 0.61382
12 87 0.339724
12 89 -0.655924
12 90 2.69595
12 101 -0.329715
12 102 -0.0408533
12 112 -5.75059
12 113 -4.468
12 217 -6.14585
12 221 3.23174
12 223 -11.0308
12 319 1.07676
12 320 1.77816
12 321 0.496195
12 322 0.108136
12 326 -0.198442
12 329 0.155984
12 334 -0.184344
12 376 -4.56372
12 378 -0.81458
13 13 8.51135
13 36 0.85278
13 37 0.589509
13 66 0.232617
13 67 0.297886
13 89 -0.393555
13 91 1.23335
13 116 -3.25907
13 117 -2.46645
13 175 -0.926568
13 177 -1.23169
13 222 0.934922
13 225 -4.58687
13 234 0.00296983
13 237 -0.127162
13 242 -0.0722355
13 327 0.166848
13 332 0.0519948
13 336 0.184688
14 14 4.4233
14 38 -0.0437668
14 39 -0.102315
14 66 0.180924
14 68 0.19977
14 83 0.0893589
14 97 -0.157391
14 98 0.0141225
14 120 -0.160909
14 121 -0.61492
14 176 -0.740099
14 179 -0.824577
14 209 -1.65315
14 235 0.0643844
14 240 -0.0762969
14 244 -0.00761872
14 303 0.471319
14 304 0.804768
14 305 0.0102362
14 306 -0.0795282
14 360 -2.0128
14 362 0.220041
15 15 5.25938
15 40 0.405686
15 41 0.343273
15 73 0.226785
15 74 0.209803
15 93 0.268365
15 94 0.292963
15 124 -1.60845
15 125 -1.39155
15 190 -0.912203
15 192 -0.837453
15 230 -1.07493
15 232 -1.17541
15 262 -0.00675895
15 265 -0.0450918
15 267 -0.038309
15 342 -0.00259228
15 345 0.0502763
15 347 0.0362257
16 16 1.11105
16 42 -0.0208742
16 43 -0.0047012
16 69 0.0691667
16 71 0.0380743
16 81 0.00967651
16 95 -0.0258232
16 96 0.0261541
16 128 -0.221184
16 129 -0.0524139
16 182 -0.292307
16 185 -0.160663
16 205 -0.438252
16 247 -0.020961
16 252 0.0213806
16 256 0.00664889
16 293 0.104478
16 294 0.135697
16 299 -0.0829902
16 300 -0.0572832
