71161
5745 5745
0 0 8.41919
112 0 0.0937043
113 0 -0.582237
233 0 0.1064
322 0 -0.116967
354 0 -0.0418386
453 0 -0.522044
482 0 -0.039202
497 0 -0.10286
1351 0 0.0368768
1352 0 -2.68788
1353 0 -0.0194143
1354 0 -2.74079
1815 0 0.436952
1816 0 0.147975
1817 0 0.639815
1818 0 0.339074
2065 0 0.149011
2066 0 0.413445
2353 0 0.313595
2354 0 0.56816
2405 0 -0.659368
2406 0 -1.79105
2407 0 -0.637772
2408 0 -1.72038
1 1 10.1053
113 1 -0.646949
114 1 0.131397
232 1 0.14695
234 1 -0.716389
322 1 -0.0376388
354 1 -0.133572
355 1 -0.150503
402 1 -0.0393939
1355 1 -3.37045
1356 1 0.121276
1357 1 -3.30497
1358 1 0.0590558
1817 1 0.344114
1818 1 0.727705
1819 1 0.133474
1820 1 0.559577
2063 1 0.131745
2064 1 0.53167
2067 1 0.368644
2068 1 0.813392
2409 1 -2.22548
2410 1 -0.634186
2411 1 -2.31275
2412 1 -0.599252
2 2 9.62629
114 2 0.116149
115 2 -0.59343
235 2 -0.657434
294 2 0.10124
322 2 -0.132139
355 2 -0.0323536
387 2 -0.0310541
410 2 -0.148451
1359 2 -3.0466
1360 2 0.0167601
1361 2 -3.11252
1362 2 -0.044988
1819 2 0.532781
1820 2 0.11201
1821 2 0.706413
1822 2 0.302418
2069 2 0.323606
2070 2 0.788533
2191 2 0.559636
2192 2 0.113816
2413 2 -0.525677
2414 2 -2.19836
2415 2 -0.489838
2416 2 -2.28429
3 3 8.02852
112 3 0.0812355
115 3 -0.533865
295 3 0.0690332
322 3 -0.0356268
387 3 -0.115711
452 3 -0.478535
482 3 -0.102161
504 3 -0.03341
1363 3 -0.0487422
1364 3 -2.53068
1365 3 -0.104427
1366 3 -2.47635
1815 3 0.131174
1816 3 0.416225
1821 3 0.300354
1822 3 0.621172
2193 3 0.43871
2194 3 0.13016
2351 3 0.277968
2352 3 0.552673
2417 3 -1.70538
2418 3 -0.541299
2419 3 -1.77494
2420 3 -0.563874
4 4 11.4435
116 4 -0.799611
117 4 0.157674
235 4 -0.726087
293 4 0.139692
323 4 -0.026034
355 4 -0.168693
386 4 -0.188241
410 4 -0.0259671
1367 4 -3.70296
1368 4 0.0299096
1369 4 -3.78169
1370 4 0.0991268
1823 4 0.340176
1824 4 0.989574
1825 4 0.0794827
1826 4 0.674765
2069 4 0.891598
2070 4 0.321075
2189 4 0.706781
2190 4 0.08495
2421 4 -2.90403
2422 4 -0.39061
2423 4 -2.79868
2424 4 -0.442883
5 5 12.0185
117 5 0.176081
118 5 -0.870329
234 5 -0.790773
236 5 0.19488
323 5 -0.191262
355 5 -0.0333116
356 5 -0.0338608
402 5 -0.171035
1371 5 0.225308
1372 5 -4.01341
1373 5 0.155783
1374 5 -4.09274
1825 5 0.708918
1826 5 0.106125
1827 5 1.02168
1828 5 0.391708
2067 5 0.919723
2068 5 0.369031
2071 5 0.67584
2072 5 0.100755
2425 5 -0.56385
2426 5 -2.94765
2427 5 -0.512328
2428 5 -2.84073
6 6 14.1909
118 6 -0.955295
119 6 0.227847
237 6 0.250305
297 6 -1.04592
323 6 -0.0255959
356 6 -0.216424
388 6 -0.240509
411 6 -0.0245687
1375 6 0.269424
1376 6 -4.82233
1377 6 0.348067
1378 6 -4.91684
1827 6 0.386376
1828 6 1.14945
1829 6 0.0634175
1830 6 0.889964
2073 6 0.850767
2074 6 0.0534203
2197 6 1.27032
2198 6 0.40615
2429 6 -3.71554
2430 6 -0.438236
2431 6 -3.58533
2432 6 -0.366405
7 7 13.5121
116 7 -0.878238
119 7 0.205883
292 7 0.184438
296 7 -0.962214
323 7 -0.212986
386 7 -0.0175344
388 7 -0.0160067
418 7 -0.236338
1379 7 -4.45441
1380 7 0.197264
1381 7 -4.54717
1382 7 0.118725
1823 7 1.11341
1824 7 0.331998
1829 7 0.846959
1830 7 0.0310229
2187 7 0.885115
2188 7 0.0411018
2195 7 1.22988
2196 7 0.347979
2433 7 -0.305527
2434 7 -3.52536
2435 7 -0.233175
2436 7 -3.65385
8 8 13.1485
120 8 -1.01569
121 8 0.253342
239 8 -0.922719
324 8 -0.196456
357 8 -0.0484756
443 8 0.273421
477 8 -0.0500597
494 8 -0.174836
1383 8 -4.72708
1384 8 0.426223
1385 8 -4.64716
1386 8 0.496936
1831 8 1.08366
1832 8 0.498039
1833 8 0.708347
1834 8 0.149354
2077 8 0.467456
2078 8 0.973005
2332 8 0.673482
2333 8 0.144083
2437 8 -0.763709
2438 8 -3.02079
2439 8 -0.814134
2440 8 -2.91119
9 9 12.587
121 9 0.23354
122 9 -0.942436
236 9 0.214043
238 9 -0.856407
324 9 -0.0418853
356 9 -0.193985
357 9 -0.173069
402 9 -0.0408322
1387 9 0.358235
1388 9 -4.40824
1389 9 0.288206
1390 9 -4.3285
1833 9 0.122333
1834 9 0.675336
1835 9 0.444415
1836 9 1.05301
2071 9 0.127641
2072 9 0.709359
2075 9 0.41792
2076 9 0.946828
2441 9 -2.87801
2442 9 -0.636956
2443 9 -2.98634
2444 9 -0.687875
10 10 14.8726
122 10 -1.0342
123 10 0.296598
237 10 0.27323
298 10 -1.13195
324 10 -0.219628
356 10 -0.0339251
389 10 -0.0334189
411 10 -0.244468
1391 10 0.427915
1392 10 -5.29529
1393 10 0.506863
1394 10 -5.19919
1835 10 1.18503
1836 10 0.442315
1837 10 0.853204
1838 10 0.0763894
2073 10 0.0863448
2074 10 0.893351
2199 10 1.31058
2200 10 0.46613
2445 10 -0.50399
2446 10 -3.64175
2447 10 -0.575474
2448 10 -3.77359
11 11 15.5571
120 11 -1.11473
123 11 0.320386
299 11 -1.22012
324 11 -0.0424758
389 11 -0.248256
444 11 0.344569
477 11 -0.222635
503 11 -0.0425167
1395 11 -5.68164
1396 11 0.672831
1397 11 -5.58411
1398 11 0.593395
1831 11 0.499573
1832 11 1.22024
1837 11 0.109759
1838 11 0.895494
2201 11 1.35077
2202 11 0.527702
2334 11 0.854475
2335 11 0.099815
2449 11 -3.69526
2450 11 -0.71653
2451 11 -3.82866
2452 11 -0.645257
12 12 8.78607
124 12 0.132313
125 12 -0.630349
233 12 0.119282
325 12 -0.048042
354 12 -0.117815
454 12 -0.564926
483 12 -0.103159
497 12 -0.0449636
1399 12 0.127214
1400 12 -2.94773
1401 12 0.0701111
1402 12 -2.89652
1839 12 0.166491
1840 12 0.40886
1841 12 0.377671
1842 12 0.65676
2065 12 0.433228
2066 12 0.16546
2355 12 0.348869
2356 12 0.581793
2453 12 -1.72903
2454 12 -0.733873
2455 12 -1.80055
2456 12 -0.754602
13 13 10.5688
125 13 -0.700592
126 13 0.178831
232 13 0.162773
238 13 -0.77587
325 13 -0.134642
354 13 -0.0442997
357 13 -0.0465324
402 13 -0.152193
1403 13 -3.56406
1404 13 0.23144
1405 13 -3.62885
1406 13 0.16855
1841 13 0.747517
1842 13 0.386103
1843 13 0.52884
1844 13 0.151474
2063 13 0.557659
2064 13 0.153156
2075 13 0.836964
2076 13 0.414214
2457 13 -0.74415
2458 13 -2.2469
2459 13 -0.709994
2460 13 -2.33532
14 14 11.0163
126 14 0.195091
127 14 -0.754036
239 14 -0.835582
325 14 -0.050977
357 14 -0.153568
442 14 0.211519
476 14 -0.135394
494 14 -0.0537148
1407 14 -3.88638
1408 14 0.346136
1409 14 -3.82256
1410 14 0.282394
1843 14 0.172704
1844 14 0.554144
1845 14 0.428059
1846 14 0.765938
2077 14 0.859352
2078 14 0.460013
2330 14 0.524538
2331 14 0.171049
2461 14 -2.26335
2462 14 -0.854635
2463 14 -2.35271
2464 14 -0.821169
15 15 9.12824
124 15 0.145454
127 15 -0.677852
325 15 -0.118302
441 15 0.158667
455 15 -0.606808
476 15 -0.0541758
483 15 -0.0506282
506 15 -0.103104
1411 15 0.221009
1412 15 -3.10075
1413 15 0.162902
1414 15 -3.14992
1839 15 0.42782
1840 15 0.182438
1845 15 0.6721
1846 15 0.415802
2328 15 0.402733
2329 15 0.183448
2357 15 0.383423
2358 15 0.593654
2465 15 -0.848533
2466 15 -1.8042
2467 15 -0.828599
2468 15 -1.73209
16 16 21.3655
128 16 -1.5771
129 16 0.480677
241 16 -1.7107
326 16 -0.0169614
358 16 -0.384834
446 16 0.514523
478 16 -0.349115
495 16 -0.012533
1415 16 -7.97597
1416 16 1.09248
1417 16 -7.8386
1418 16 0.988265
1847 16 0.532392
1848 16 1.86093
1849 16 -0.0301169
1850 16 1.39342
2081 16 2.04107
2082 16 0.551687
2338 16 1.33656
2339 16 -0.0530782
2469 16 -5.76691
2470 16 -0.301108
2471 16 -5.96153
2472 16 -0.174264
17 17 20.4084
129 17 0.447495
130 17 -1.46388
240 17 -1.58841
242 17 0.414989
326 17 -0.342911
358 17 -0.00183069
359 17 -0.00681196
403 17 -0.377725
1419 17 0.757181
1420 17 -7.43531
1421 17 0.86144
1422 17 -7.30214
1849 17 1.32689
1850 17 -0.0781493
1851 17 1.80361
1852 17 0.459377
2079 17 1.97778
2080 17 0.473949
2083 17 1.38295
2084 17 -0.0553387
2473 17 -0.0077509
2474 17 -5.66137
2475 17 -0.134005
2476 17 -5.85408
18 18 17.4643
130 18 -1.34651
131 18 0.367991
243 18 0.340295
298 18 -1.23596
326 18 -0.0203611
359 18 -0.305131
389 18 -0.275704
411 18 -0.0228585
1423 18 0.675581
1424 18 -6.30042
1425 18 0.585428
1426 18 -6.18651
1851 18 0.476912
1852 18 1.61627
1853 18 0.0106718
1854 18 1.06815
2085 18 1.11555
2086 18 0.0264165
2199 18 0.457007
2200 18 1.46824
2477 18 -4.56073
2478 18 -0.298895
2479 18 -4.7204
2480 18 -0.395282
19 19 18.2807
128 19 -1.45101
131 19 0.39623
299 19 -1.33211
326 19 -0.310466
389 19 -0.0322471
445 19 0.424994
478 19 -0.0303037
503 19 -0.280188
1427 19 -6.76066
1428 19 0.781851
1429 19 -6.64399
1430 19 0.872259
1847 19 1.66734
1848 19 0.546527
1853 19 1.12152
1854 19 0.0510146
2201 19 0.522098
2202 19 1.51382
2336 19 1.07326
2337 19 0.0352183
2481 19 -0.453451
2482 19 -4.7998
2483 19 -0.549993
2484 19 -4.63834
20 20 16.6611
132 20 0.286611
133 20 -1.24521
243 20 0.313162
297 20 -1.14246
327 20 -0.299732
359 20 -0.0107537
388 20 -0.0137808
411 20 -0.271115
1431 20 0.487611
1432 20 -5.74198
1433 20 0.397515
1434 20 -5.85301
1855 20 1.10862
1856 20 0.00254658
1857 20 1.56586
1858 20 0.409547
2085 20 -0.0131835
2086 20 1.06214
2197 20 0.393891
2198 20 1.42297
2485 20 -0.245823
2486 20 -4.63964
2487 20 -0.149419
2488 20 -4.48175
21 21 19.4759
133 21 -1.35444
134 21 0.352067
242 21 0.383175
244 21 -1.47046
327 21 0.00294867
359 21 -0.33672
360 21 -0.370685
403 21 0.00846079
1435 21 -6.91278
1436 21 0.640756
1437 21 -6.78388
1438 21 0.536235
1857 21 0.388971
1858 21 1.7474
1859 21 -0.0796455
1860 21 1.37192
2083 21 -0.10235
2084 21 1.31668
2087 21 0.399095
2088 21 1.91603
2489 21 -5.55641
2490 21 0.0265959
2491 21 -5.74733
2492 21 0.152472
22 22 18.5679
134 22 0.321679
135 22 -1.24888
245 22 -1.35698
301 22 0.292028
327 22 -0.330512
360 22 0.0183167
390 22 0.01229
412 22 -0.363685
1439 22 -6.28425
1440 22 0.430937
1441 22 -6.40883
1442 22 0.325906
1859 22 1.30578
1860 22 -0.125606
1861 22 1.69218
1862 22 0.321328
2089 22 0.327249
2090 22 1.85572
2205 22 -0.102954
2206 22 1.3602
2493 22 0.180233
2494 22 -5.45155
2495 22 0.305984
2496 22 -5.6408
23 23 15.8712
132 23 0.260663
135 23 -1.14725
296 23 -1.05179
300 23 0.235338
327 23 -0.00151459
388 23 -0.266387
390 23 -0.294231
418 23 -0.00505246
1443 23 0.309017
1444 23 -5.41908
1445 23 0.218761
1446 23 -5.31102
1855 23 -0.0362518
1856 23 1.05504
1861 23 0.344603
1862 23 1.51601
2195 23 0.332948
2196 23 1.37789
2203 23 -0.02049
2204 23 1.10056
2497 23 -4.40082
2498 23 -0.00557867
2499 23 -4.55693
2500 23 -0.102207
24 24 22.6919
136 24 -1.72425
137 24 0.423642
244 24 -1.59362
246 24 0.459807
328 24 -0.455449
360 24 0.0255341
361 24 0.0340884
403 24 -0.415143
1448 24 -8.10927
1449 24 0.680108
1450 24 -7.96117
1451 24 0.802804
1864 24 2.32993
1865 24 0.371533
1866 24 1.68826
1867 24 -0.186747
2087 24 2.1311
2088 24 0.368593
2091 24 1.62241
2092 24 -0.21782
2503 24 0.555276
2504 24 -7.07102
2505 24 0.394281
2506 24 -6.84051
25 25 21.6599
137 25 0.388323
138 25 -1.59392
245 25 -1.47187
302 25 0.35386
328 25 0.0445053
360 25 -0.40728
391 25 -0.446811
412 25 0.035437
1452 25 -7.38722
1453 25 0.434315
1454 25 -7.52951
1455 25 0.557997
1866 25 -0.240775
1867 25 1.60727
1868 25 0.292634
1869 25 2.25821
2089 25 2.06469
2090 25 0.294102
2207 25 -0.20987
2208 25 1.67255
2507 25 -6.93824
2508 25 0.717583
2509 25 -6.70904
2510 25 0.557095
26 26 24.8668
139 26 -2.0018
140 26 0.573283
241 26 -1.85215
329 26 -0.473411
358 26 0.00432681
447 26 0.612739
479 26 0.0118098
495 26 -0.431308
1457 26 -9.34086
1458 26 1.20778
1459 26 -9.18124
1460 26 1.32937
1870 26 2.48094
1871 26 0.539931
1872 26 1.71943
1873 26 -0.137272
2081 26 0.527427
2082 26 2.26988
2340 26 1.65228
2341 26 -0.16886
2513 26 0.208333
2514 26 -7.34587
2515 26 0.0454404
2516 26 -7.11191
27 27 23.7608
140 27 0.534636
141 27 -1.86022
240 27 -1.7204
246 27 0.496808
329 27 0.0231848
358 27 -0.423145
361 27 -0.464309
403 27 0.015157
1461 27 1.06004
1462 27 -8.71314
1463 27 0.93803
1464 27 -8.55926
1872 27 -0.193832
1873 27 1.63738
1874 27 0.45399
1875 27 2.40415
2079 27 0.446403
2080 27 2.19947
2091 27 -0.162529
2092 27 1.70385
2517 27 -6.97468
2518 27 0.385436
2519 27 -7.20679
2520 27 0.223626
28 28 15.1678
142 28 -0.867649
143 28 0.106467
248 28 -0.949218
330 28 -0.304599
362 28 0.052777
425 28 0.0833211
466 28 0.0447099
489 28 -0.335182
1467 28 -4.47921
1468 28 -0.28797
1469 28 -4.5863
1470 28 -0.398161
1877 28 1.47819
1878 28 0.0818979
1879 28 1.25092
1880 28 -0.207323
2096 28 0.0728695
2097 28 1.6258
2293 28 -0.184075
2294 28 1.3018
2525 28 0.71371
2526 28 -5.01835
2527 28 0.842586
2528 28 -5.20245
29 29 15.9852
143 29 0.130493
144 29 -0.956619
247 29 -1.04408
249 29 0.155378
330 29 0.0374352
362 29 -0.342501
363 29 -0.311358
404 29 0.044978
1471 29 -0.235975
1472 29 -4.9009
