2445
381 381
0 0 12.2325
0 106 -3.06597
0 107 -2.03997
0 114 -2.1081
0 115 -3.249
0 122 -0.496635
0 357 0.298789
0 377 -1.48305
1 1 5.3454
1 103 -1.20126
1 126 -0.795492
1 127 -0.406773
1 134 -0.7019
1 353 -2.22885
2 2 7.14782
2 110 -1.18271
2 123 -1.4506
2 138 -1.38729
2 142 -1.50024
2 146 -1.14719
2 365 -0.438671
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 9.18565
10 104 -1.86596
10 105 -2.13043
10 207 0.0887392
10 227 -1.474
10 229 -0.918826
10 354 0.354351
10 358 -3.21417
11 11 8.49391
11 108 -1.69934
11 109 -1.57542
11 219 0.0775196
11 228 -1.89514
11 231 -1.23181
11 368 -1.37367
11 380 -0.73867
12 12 23.6681
12 112 -3.66145
12 113 -3.24537
12 217 -5.61158
12 221 2.16858
12 223 -8.26943
12 376 -3.63388
12 378 -1.2125
13 13 8.46175
13 116 -2.36356
13 117 -1.96722
13 175 -0.735229
13 177 -1.05886
13 222 0.985718
13 225 -3.23179
14 14 4.61328
14 120 -0.150246
14 121 -0.216364
14 176 -0.503052
14 179 -0.68089
14 209 -1.51766
14 360 -1.48064
14 362 -0.0276947
15 15 5.26172
15 124 -1.16984
15 125 -1.07625
15 190 -0.71623
15 192 -0.686358
15 230 -0.778567
15 232 -0.811033
16 16 1.14988
16 128 -0.109808
16 129 -0.0639307
16 182 -0.233269
16 185 -0.0985949
16 205 -0.380327
16 350 -0.318227
16 356 0.0590061
17 17 2.21552
17 132 -0.405678
17 133 -0.497273
17 184 -0.258425
17 186 -0.191796
17 188 -0.491333
17 191 -0.359088
18 18 3.14278
18 136 -0.56095
18 137 -0.749994
18 187 -0.631714
18 189 -0.482465
18 194 -0.395262
18 197 -0.305275
19 19 4.93845
19 140 -0.905711
19 141 -1.08939
19 196 -1.07667
19 198 -0.398475
19 200 -1.43635
19 203 0.00406901
20 20 13.4737
20 144 -1.99655
20 145 -1.7646
20 202 -3.6753
20 204 0.00895182
20 213 -3.08737
20 366 -2.43196
20 372 -0.432104
21 21 1
22 22 1
23 23 1
24 24 1
25 25 1
26 26 1
27 27 1
28 28 3.05513
28 206 -0.769514
28 208 0.104254
28 210 -0.92991
28 212 0.0775588
28 351 0.0210858
28 355 -0.931253
28 359 0.0494025
28 363 -0.666947
29 29 15.3814
29 214 -4.09849
29 216 0.550326
29 218 -4.46038
29 220 0.404786
29 367 -0.76444
29 371 -3.28136
29 375 -0.877151
29 379 -2.74333
30 30 7.3049
30 103 -1.40235
30 104 -1.62359
30 297 -0.11163
30 340 -0.685061
30 341 -1.11135
30 353 0.347375
30 354 -2.70059
31 31 11.3225
31 105 -2.41795
31 106 -2.72948
31 301 0.362893
31 337 -1.88344
31 338 -1.18376
31 357 -3.77527
31 358 0.339279
32 32 9.26545
32 107 -1.93238
32 108 -1.81858
32 324 0.263762
32 337 -2.04722
32 339 -1.3409
32 377 -0.886702
32 380 -1.43825
33 33 7.55769
33 109 -1.44755
33 110 -1.31642
33 312 -0.0849573
33 343 -1.09155
33 344 -1.69627
33 365 -1.28466
33 368 -0.587467
34 34 31.236
34 111 -4.55247
34 112 -4.09675
34 320 -7.8254
34 328 -10.6538
34 329 2.81915
34 373 -5.39941
34 376 -1.2736
35 35 17.345
35 113 -2.84785
35 114 -2.4687
35 321 -3.87375
35 325 1.59686
35 326 -6.16555
35 377 -1.05832
35 378 -2.37236
36 36 11.2867
36 115 -3.00445
36 116 -2.7093
36 233 -0.986755
36 234 -1.49379
36 325 1.242
36 327 -4.2136
37 37 4.81986
37 117 -1.52028
37 118 -1.02274
37 236 -0.499652
37 237 -0.406311
37 331 -1.96946
37 332 0.650574
38 38 1.79022
38 119 -0.0423602
38 120 -0.0927412
38 239 -0.245954
38 240 -0.21283
38 305 -0.575141
38 361 -0.0280771
38 362 -0.57775
39 39 8.71836
39 121 -0.2935
39 122 -0.385229
39 233 -0.870667
39 235 -1.24009
39 304 -2.93076
39 357 -2.99486
39 360 0.0596098
40 40 6.13867
40 123 -1.35701
40 124 -1.26343
40 260 -0.833112
40 262 -0.80324
40 343 -0.943499
40 345 -0.911034
41 41 4.38477
41 125 -0.982666
41 126 -0.889079
41 263 -0.569476
41 265 -0.599347
41 340 -0.6461
41 342 -0.678566
42 42 2.89406
42 127 -0.270071
42 128 -0.175664
42 251 -0.209918
42 252 -0.537362
42 300 -0.95243
42 353 0.202376
42 356 -0.941144
43 43 0.270915
43 129 -0.032673
43 130 -0.0127519
43 245 -0.0539329
43 247 -0.0286944
43 293 -0.0935432
43 349 -0.0570864
43 350 0.00910343
44 44 1.21281
44 131 -0.187406
44 132 -0.302389
44 248 -0.12224
44 250 -0.106362
44 257 -0.269063
44 259 -0.218829
45 45 2.99367
45 133 -0.577176
45 134 -0.645385
45 251 -0.256518
45 253 -0.363482
45 263 -0.468178
45 264 -0.666809
46 46 1.45067
46 135 -0.217942
46 136 -0.383599
46 257 -0.29246
46 258 -0.2487
46 269 -0.157911
46 271 -0.142173
47 47 5.05946
47 137 -0.950731
47 138 -1.16316
47 260 -0.747398
47 261 -1.01776
47 275 -0.489087
47 276 -0.66374
48 48 2.78762
48 139 -0.46825
48 140 -0.698664
48 272 -0.507468
48 274 -0.219841
48 281 -0.875315
48 283 0.00268555
49 49 6.60841
49 141 -1.24971
49 142 -1.38666
49 275 -0.535687
49 277 -1.52111
49 287 0.00512695
49 288 -1.87271
50 50 18.0153
50 143 -2.51345
50 144 -2.245
50 284 -4.73504
50 286 0.0116374
50 316 -4.4486
50 369 -0.278519
50 372 -3.68927
51 51 9.78969
51 145 -1.54672
51 146 -1.34125
51 287 0.0065918
51 289 -2.74024
51 309 -2.06282
51 365 -1.55864
51 366 -0.472981
52 52 1
53 53 1
54 54 1
55 55 1
56 56 1
57 57 1
58 58 1
59 59 1
60 60 1
61 61 1
62 62 1
63 63 1
64 64 1
65 65 1
66 66 5.28516
66 175 -0.657837
66 176 -0.580444
66 234 -1.15206
66 235 -1.08476
66 242 -0.898359
66 244 -0.841387
67 67 2.9729
67 177 -0.71712
67 178 -0.406451
67 237 -0.367615
67 238 -0.432355
67 242 -0.68089
67 243 -0.328918
68 68 2.31226
68 179 -0.525556
68 180 -0.339155
68 240 -0.251526
68 241 -0.31325
68 243 -0.290222
68 244 -0.561785
69 69 0.577139
69 181 -0.124108
69 182 -0.186486
69 246 -0.0522023
69 247 -0.0442279
69 254 -0.0597613
69 256 -0.106676
70 70 0.921988
70 183 -0.0872212
70 184 -0.165041
70 249 -0.194283
70 250 -0.0908282
70 254 -0.0752948
70 255 -0.303445
71 71 1.61169
71 185 -0.129662
71 186 -0.160729
71 252 -0.474984
71 253 -0.262316
71 255 -0.397012
71 256 -0.176714
72 72 2.63086
72 187 -0.58492
72 188 -0.538127
72 258 -0.334414
72 259 -0.320127
72 266 -0.429217
72 268 -0.412336
73 73 4.27515
73 189 -0.568179
73 190 -0.6461
73 261 -0.947571
73 262 -0.670774
73 266 -0.546099
73 267 -0.87738
74 74 3.61743
74 191 -0.460386
74 192 -0.569476
74 264 -0.737
74 265 -0.544802
74 267 -0.80719
74 268 -0.482465
75 75 1.8368
75 193 -0.19293
75 194 -0.301878
75 270 -0.367118
75 271 -0.157707
75 278 -0.17324
75 280 -0.632224
76 76 2.18165
76 195 -0.437293
76 196 -0.749183
76 273 -0.227949
76 274 -0.204307
76 278 -0.188774
76 279 -0.360243
77 77 3.90589
77 197 -0.336342
77 198 -0.367408
77 276 -0.578138
77 277 -1.20922
77 279 -0.476973
77 280 -0.912925
78 78 8.28223
78 199 -2.2779
78 200 -1.84154
78 282 -1.92986
78 283 0.00447591
78 290 0.00626628
78 292 -2.17921
79 79 13.8037
79 201 -3.33245
79 202 -3.51946
79 285 -3.68049
79 286 0.00984701
79 290 0.00805664
79 291 -3.18179
80 80 10.0391
80 203 0.00569661
80 204 0.00732422
80 288 -2.2779
80 289 -2.5844
80 291 -2.71426
80 292 -2.39739
81 81 2.16963
81 205 -0.495791
81 206 -0.62516
81 294 0.0206525
81 299 0.0212723
81 350 0.0271996
81 351 -0.486293
81 355 0.0611905
81 356 -0.686897
82 82 6.67338
82 207 0.122758
82 208 0.122811
82 298 -1.64216
82 302 -1.92157
82 354 -2.07535
82 355 0.118269
82 358 0.207356
82 359 -1.58944
83 83 4.0653
83 209 -1.30296
83 210 -1.10738
83 303 0.227955
83 306 0.164743
83 359 -1.1946
83 360 0.0218532
83 362 -0.863051
83 363 0.00329472
84 84 1.01309
84 211 0.0251045
84 212 0.0497018
84 295 -0.254102
84 307 -0.3219
84 351 -0.320967
84 352 -0.0032018
84 363 -0.0031791
84 364 -0.180381
85 85 13.8337
85 213 -3.41143
85 214 -3.74864
85 310 0.112659
85 315 0.203497
85 366 -0.559825
85 367 -2.59501
85 371 -0.644566
85 372 -3.09877
86 86 21.0795
86 215 0.881047
86 216 0.71046
86 314 -5.77262
86 318 -6.25556
86 370 -4.87448
86 371 -0.724938
86 374 -0.797841
86 375 -4.11563
87 87 16.9617
87 217 -5.21764
87 218 -4.83366
87 319 0.939042
87 322 0.733384
87 375 -3.45844
87 376 -1.12683
87 378 -2.88228
87 379 -0.983155
88 88 11.0244
88 219 0.167267
88 220 0.276571
88 311 -2.81182
88 323 -3.07265
88 367 -2.15867
88 368 -0.712553
88 379 -0.844638
88 380 -1.77629
89 89 19.4629
89 221 1.77429
89 222 1.38
89 326 -5.8149
89 327 -5.12528
89 334 -6.10709
89 336 -5.39413
90 90 26.7615
90 223 -7.91879
90 224 -7.49801
90 329 2.38544
90 330 -8.28111
90 334 -7.15903
90 335 1.95172
91 91 16.0569
91 225 -4.14347
91 226 -5.12528
91 332 1.08429
91 333 -4.34219
91 335 1.51801
91 336 -4.90322
92 92 7.89258
92 227 -1.61438
92 228 -1.75476
92 338 -1.1448
92 339 -1.19285
92 346 -1.05259
92 348 -1.09805
93 93 6.02905
93 229 -0.879865
93 230 -0.833112
93 341 -1.22833
93 342 -0.795448
93 346 -0.920123
93 347 -1.34532
94 94 7.12524
94 231 -1.08376
94 232 -0.943499
94 344 -1.57928
94 345 -0.981163
94 347 -1.4623
94 348 -1.0435
95 95 0.631345
95 293 -0.140429
95 294 0.0142369
95 295 -0.19378
95 296 0.006814
95 349 0.00123944
95 350 -0.207905
95 351 0.00689968
95 352 -0.116184
96 96 5.1668
96 297 -0.0298997
96 298 -1.38861
96 299 0.00838583
96 300 -1.15927
96 353 -1.66731
96 354 0.214465
96 355 -1.25439
96 356 0.119753
97 97 8.37976
97 301 0.338484
97 302 -2.22843
97 303 0.28901
97 304 -2.56431
97 357 0.178562
97 358 -2.51597
97 359 0.0989672
97 360 -1.95186
98 98 1.45471
98 305 -0.481923
98 306 0.105772
98 307 -0.397675
98 308 0.0551487
98 361 -0.250598
98 362 -0.0222369
98 363 -0.443696
98 364 -0.0127409
99 99 9.84327
99 309 -2.30595
99 310 0.0330763
99 311 -2.55593
99 312 -0.0331556
99 365 -0.544154
99 366 -2.02879
99 367 -0.652982
99 368 -1.67959
100 100 19.1209
100 313 0.403931
100 314 -5.31035
100 315 0.302234
100 316 -4.86895
100 369 -4.63089
100 370 -0.524548
100 371 -3.90254
100 372 -0.483611
101 101 23.1669
101 317 1.41199
101 318 -6.75887
101 319 1.16641
101 320 -7.28226
101 373 -1.09691
101 374 -5.12984
101 375 -0.988975
101 376 -4.33275
102 102 12.1585
102 321 -3.60476
102 322 0.55166
102 323 -3.33733
102 324 0.395027
102 377 -1.85455
102 378 -1.04361
102 379 -2.27172
102 380 -0.88551
103 1 -1.20126
103 30 -1.40235
103 103 6.45499
103 126 -0.579867
103 127 0.336607
103 297 -2.45991
103 340 -0.947571
103 353 -0.186158
104 10 -1.86596
104 30 -1.62359
104 104 8.21435
104 207 -2.95176
104 229 -1.28682
104 297 0.353416
104 341 -0.798047
104 354 -0.020256
105 10 -2.13043
105 31 -2.41795
105 105 10.221
105 207 0.349777
105 227 -1.0474
105 301 -3.48847
105 338 -1.67287
105 358 0.216174
106 0 -3.06597
106 31 -2.72948
106 106 12.4923
106 107 -2.10571
106 122 -4.07514
106 301 0.322428
106 337 -1.32791
106 357 0.529764
107 0 -2.03997
107 32 -1.93238
107 106 -2.10571
107 107 9.58889
107 114 -0.957924
107 324 -1.46292
107 337 -1.38376
107 377 0.362498
108 11 -1.69934
108 32 -1.81858
108 108 8.90032
108 219 -1.40867
108 228 -1.29025
108 324 -0.81341
108 339 -1.97703
108 380 0.168343
109 11 -1.57542
109 33 -1.44755
109 109 8.0464
109 219 -0.66313
109 231 -1.80155
109 312 -1.33261
109 344 -1.16558
109 368 -0.00737886
110 2 -1.18271
110 33 -1.31642
110 110 7.02736
110 123 -1.00973
110 146 -1.22879
110 312 -0.512396
110 343 -1.57928
110 365 -0.153743
111 34 -4.55247
111 111 35.5613
111 320 -1.25571
111 328 3.17401
111 373 -9.13936
112 12 -3.66145
112 34 -4.09675
112 112 27.2829
112 217 -1.25724
112 223 2.48401
112 320 -4.44368
112 329 -9.42657
